Year,NMW(Reals),NMW(Dollars),CODE
2022,"1,212.00",$217.40 ,BRA
2021,"1,100.00",$203.90 ,BRA
2020,"1,045.00",$202.70 ,BRA
2019,998,$253.00 ,BRA
2018,954,$261.10 ,BRA
2017,937,$293.60 ,BRA
2016,880,$252.10 ,BRA
2015,788,$236.90 ,BRA
2014,724,$307.70 ,BRA
2013,678,$314.50 ,BRA
2012,622,$318.50 ,BRA
2011,544.2,$325.80 ,BRA
2010,510,$289.90 ,BRA
2009,460.8,$232.60 ,BRA
2008,409.2,$226.30 ,BRA
2007,372.5,$195.20 ,BRA
2006,337.5,$160.90 ,BRA
2005,286.7,$123.20 ,BRA
2004,253.3,$88.90 ,BRA
2003,230,$78.00 ,BRA
2002,195,$68.50 ,BRA
2001,172.8,$76.60 ,BRA
2000,147.3,$82.50 ,BRA
1999,134,$75.00 ,BRA
1998,130,$112.00 ,BRA
1997,120,$111.30 ,BRA
1996,112,$111.40 ,BRA
1995,100,$109.00 ,BRA
1994,70,$105.30 ,BRA
